,Question,Answer
822,When is a switch statement preferable over an if statement?,"The switch statement is best used when dealing with selections based on a single variable or expression. However, switch statements can only evaluate integer and character data types."
823,What are global variables and how do you declare them?,"Global variables are variables that can be accessed and manipulated anywhere in the program. To make a variable global, place the variable declaration on the upper portion of the program, just after the preprocessor directives section."
824,What are enumerated types?,"Enumerated types allow the programmer to use more meaningful words as values to a variable. Each item in the enumerated type variable is actually associated with a numeric code. For example, one can create an enumerated type variable named DAYS whose values are Monday, Tuesday Sunday. "
825,What does the function toupper() do?,"It is used to convert any letter to its upper case mode. Toupper() function prototype is declared in <ctype.h>. Note that this function will only convert a single character, and not an entire string."
826,Is it possible to have a function as a parameter in another function?,"Yes, that is allowed in C programming. You just need to include the entire function prototype into the parameter field of the other function where it is to be used."
827,What are multidimensional arrays?,"Multidimensional arrays are capable of storing data in a two or more dimensional structure. For example, you can use a 2 dimensional array to store the current position of pieces in a chess game, or position of players in a tic-tac-toe program."
828,Which function in C can be used to append a string to another string?,"The strcat function. It takes two parameters, the source string and the string value to be appended to the source string."
829,What is the difference between functions getch() and getche()?,"Both functions will accept a character input value from the user. When using getch(), the key that was pressed will not appear on the screen, and is automatically captured and assigned to a variable. When using getche(), the key that was pressed by the user will appear on the screen, while at the same time being assigned to a variable. "
830,"Dothese two program statements perform the same output? 1) scanf(%c, &letter);  2) letter=getchar()","Yes, they both do the exact same thing, which is to accept the next key pressed by the user and assign it to variable named letter."
831,What are structure types in C?,Structure types are primarily used to store records. A record is made up of related fields. This makes it easier to organize a group of related data.
832,What does the characters r and w mean when writing programs that will make use of files?,"r means read and will open a file as input wherein data is to be retrieved. w means write, and will open a file for output. Previous data that was stored on that file will be erased."
833,What is the difference between text files and binary files?,"Text files contain data that can easily be understood by humans. It includes letters, numbers and other characters. On the other hand, binary files contain 1s and 0s that only computers can interpret. "
834,is it possible to create your own header files?,"Yes, it is possible to create a customized header file. Just include in it the function prototypes that you want to use in your program, and use the #include directive followed by the name of your header file."
835,What is dynamic data structure?,"Dynamic data structure provides a means for storing data more efficiently into memory. Using dynamic memory allocation, your program will access memory spaces as needed. This is in contrast to static data structure, wherein the programmer has to indicate a fix number of memory space to be used in the program."
836,What are the different data types in C?,"The basic data types are int, char, and float. Int is used to declare variables that will be storing integer values. Float is used to store real numbers. Char can store individual character values."
837,What is the general form of a C program?,"A C program begins with the preprocessor directives, in which the programmer would specify which header file and what constants (if any) to be used. This is followed by the main function heading. Within the main function lies the variable declaration and program statement."
838,What is the advantage of a random access file?,"If the amount of data stored in a file is fairly large, the use of random access will allow you to search through it quicker. If it had been a sequential access file, you would have to go through one record at a time until you reach the target data. A random access file lets you jump directly to the target address where data is located. "
839,"In a switch statement, what will happen if a break statement is omitted?","If a break statement was not placed at the end of a particular case portion? It will move on to the next case portion, possibly causing incorrect output."
840,Describe how arrays can be passed to a user defined function,"One thing to note is that you cannot pass the entire array to a function. Instead, you pass to it a pointer that will point to the array first element in memory. To do this, you indicate the name of the array without the brackets."
841,What are pointers?,"Pointers point to specific areas in the memory. Pointers contain the address of a variable, which in turn may contain a value or even an address to another memory."
842,Can you pass an entire structure to functions?,"Yes, it is possible to pass an entire structure to a function in a call by method style. However, some programmers prefer declaring the structure globally, then pass a variable of that structure type to a function. This method helps maintain consistency and uniformity in terms of argument type."
843,What is gets() function?,"The gets() function allows a full line data entry from the user. When the user presses the enter key to end the input, the entire line of characters is stored to a string variable. Note that the enter key is not included in the variable, but instead a null terminator \0 is placed after the last character."
844,The % symbol has a special use in a printf statement. How would you place this character as part of the output on the screen?,"You can do this by using %% in the printf statement. For example, you can write printf(10%%) to have the output appear as 10% on the screen. "
845,How do you search data in a data file using random access method?,"Use the fseek() function to perform random access input/ouput on a file. After the file was opened by the fopen() function, the fseek would require three parameters to work: a file pointer to the file, the number of bytes to search, and the point of origin in the file."
846,Are comments included during the compilation stage and placed in the EXE file as well?,"No, comments that were encountered by the compiler are disregarded. Comments are mostly for the guidance of the programmer only and do not have any other significant use in the program functionality."
847,Is there a built-in function in C that can be used for sorting data?,"Yes, use the qsort() function. It is also possible to create user defined functions for sorting, such as those based on the balloon sort and bubble sort algorithm. "
848,What are the advantages and disadvantages of a heap?,"Storing data on the heap is slower than it would take when using the stack. However, the main advantage of using the heap is its flexibility. Thats because memory in this structure can be allocated and remove in any particular order. Slowness in the heap can be compensated if an algorithm was well designed and implemented. "
849,How do you convert strings to numbers in C?,"You can write you own functions to do string to number conversions, or instead use Cs built in functions. You can use atof to convert to a floating point value, atoi to convert to an integer value, and atol to convert to a long integer value."
850,What is the use of a semicolon (;) at the end of every program statement?,"It has to do with the parsing process and compilation of the code. A semicolon acts as a delimiter, so that the compiler knows where each statement ends, and can proceed to divide the statement into smaller elements for syntax checking."
851,What Is The Difference Between C And C++ ?,"  C is a procedural language on the other hand c++ is an object oriented language.
    C follows top down approach, c++ follows bottom up approach.
    C is a low level language, c++ is a middle level language.
    Input and putput functions differs in the two languages, c uses printf and scanf whereas c++ uses >> and << as input and output operators.
    C++ can be broken down to solve real world problems which is not the case in c.
"
852,What Is The Difference Between Declaration And Definition ?,"There are basically two differences between declaration and definition : 
 In declaration no space is reserved for the variable, declaration only tells about the 'type' of the variable we are using or we will be using int he program.
    Definition on the other hand reserves the sapce for the variable and some initial value is given to it.
    Another major difference is that redeclaration is not an error whereas redefinition is an error,
    In simple words, when we declare no space is reserved for the variable and we can redeclare it in the program
    On the other hand, when we define a variable some sapce is reserved for it to hold values plus some initial value is also given to it, apart from it we cannot give another definition to the variable, i.e. we cannot define it again.
"
853,If You Want To Share Several Functions Or Variables In Several Files Maintaining The Consistency How Would You Share It?,"To maintain the consistency between several files firstly place each definition in '.c' file than using external declarations put it in '.h' file after it is included .h file we can use it in several files using #include as it will be in one of the header files, thus to maintain the consistency we can make our own header file and include it where ever needed."
854,What Do You Mean By Translation Unit?,"A Translation Unit is a set of source files that is seen by the compiler and it translate it as one unit which is generally.file and all the header files mentioned in #include directives.
When a C preprocessor expands the source file with all the header files the result is the preprocessing translation unit which when further processed translates the preprocessing translation unit into translation unit, further with the help of this translation unit compiler forms the object file and ultimately forms an executable program."
855,Describe Linkages And Types Of Linkages?,When we declare identifiers within the same scope or in the different scopes they can be made to refer the same object or function with the help of likages. 
856,"Keeping In Mind The Efficiency, Which One Between If-else And Switch Is More Efficient?","Between if-else chain and switch statements, as far as efficiency is concerned it is hard to say that which one is more efficient because both of them posses hardly any difference in terms of efficiency. 
    Switch can ne converted into if else chain internally by the compiler.
    Switch statements are compact way of writting a jump table whereas if-else is a long way of writting conditions.
    Between if-esle and switch statements, switch cases are prefered to be used in the programming as it is a compact and cleaner way of writting conditions in the program.

    "
857,What Are Structures And Unions?,"While handling real world problems we come across situations when we want to use different data type as one, C allows the user to define it own data type known as structures and unions.Structures and unions gathers together different atoms of informations that comprise a given entity."
858,What Is The Difference Between Structures And Unions?,"Conceptually structures and unions are same, the differnce between them lies in their 'Memory Management' or in simple words the memory required by them.
    Elements in structures are stored in contiguous blocks, where as in unions the memory is allocated in such a way that the same memory allocated for one variable serves as its memory at one occassion and as memory for another varioable at some other occassion. 
    Therefore, the basic difference lies in the way mrmory is allocated to both structures and unions.
"
859,What Do You Mean By Enumerated Data Type?,Enumerated Data type helps the user in defining its own data type and also gives the user an opportunity to define what values this type can take.
860,Keyword Mean In Declaration?,"This keyword indicated that the function or the variable is implemented externally and it emphasizes that the variable ot the function exits external to the file or function.
We use this keyword when we want to make anything global in the project, it does not lie within any function."
861,Can Union Be Self Referenced?,"No, Union cannot be self referenced because it shares a single memory for all of its data members.View answers in details"
862,. Define Pointers?,"Pointes are special type of variables that are used to store the memory address of the other variables.
    Pointers are declared normallt as other variables withe diffrence of * that is present in front of the pointer identifier.
    There are two operators that are used with the pointers one is '&' and another one is '*'.
    & is known as address of operator and * is known as dereferncing operator, both are prefix unary operators.
"
863,Which Format Specifier Is Used For Printing A Pointer Value?,"   %p is used to display the corresponding argument that is a pointer.
    %x can also be used to print values in hexadecimal form.
"
864,What Do You Mean By Global Variables?,"These are the variables which remains visible throughout the program and are not recreated when they are recalled.
These types are by default initialised to zero and allocated memory on Data Segment.View answers in details"
865,What Do You Mean By Volatile Variable?,"Variables prefixed with the keyword volatile acts as a data type qualifier. The volatile keyword attempts to alter the default way in which the variables are stored and the way the compiler handles the variables.

It is a kind of instruction to the optimizer to not to optimize the varabli during compilation"
866,What Is The Prototype Of Printf Function?,"Prototype of printf function is:
int printf( const char *format ,?)"
867,Define Macro?,"
    Macros are the identifiers that represent statements or expressions in other words macros are fragment of code which is been given a name. #define directive is used to dedine a macro.
    Example, we have define a macro i.e SQUARE(x) x*x. 
    Here the macro determines the square of the given number. Macro Declaration: #define name text.
"
868,What Is A Void Pointer?,"When we declare a variable as a pointer to a variable of type void, it is known as void pointer. Another name for it is generic pointer.

In general we cannot have a void type variable,but if the variable is of void type it do not point to any data and due to this it cannot be de-referenced."
869,What Is A Unnitialised Pointer?,When we create a pointer the memory to the pointer is allocated but the contents or value that memory has to hold remains untouched. Unitialised pointers are those pointers which do not hold any initial value.
870,What Is Dangling Pointer?,These are the pointers that do not point to any object of appropriate type. These are special cases of memory vialation as they do not point to any appropraite type.These arises when some object is deleted from the memory or when an object is deallocated thus the pointer keeps on pointin to the memory location untill it is modified. Dangling pointers may lead to unpredictable results
871,What are the Comments in C++? ,Comments in C++ are simply a piece of source code ignored by the compiler. They are only helpful for a programmer to add a description or additional information about their source code.
872,What Do You Mean By Inheritance?,"Inheritance is the process of creating new classes, called derived classes, from existing classes or base classes. The derived class inherits all the capabilities of the base class, but can add embellishments and refinements of its own."
873,Can We Define A Constructor As Virtual In C++?,"No, we cannot define constructors as virtual because constructors have the same name as their classes and no two constructors of base-derived classes can have the same name. So, when we initialize an object of the base or derived class with the help of virtual constructors, the base constructor is invoked instead of the derived constructor. Therefore, it is not possible to define a constructor as virtual."
874,Can We Declare A Base-class Destructor As Virtual?,"Yes, we can declare a base-class destructor as virtual that makes all derived-class destructors as virtual even if they do not have the same name as base-destructor. The problem arises when the derived class's pointer refers to a base class. For this reason, the base class destructor should be declared as virtual so that the appropriate destructor is called on calling the delete method of the base class object."
875,How Does A Copy Constructor Differs From An Overloaded Assignment Operator?,A copy constructor uses the value of an argument to construct a new object. We can use an overload assignment operator to assign the value of an existing object of the same class to another existing object in that class.
876,Define The Process Of Error-handling In Case Of Constructor Failure?,"If the constructor does not have the return statement, then it indicates failure in handling the error by throwing an exception."
877,What Is A Default Constructor?,"A zero-argument constructor or a constructor in which all the arguments have default values is called a default constructor.
For example:
A Al; // default constructor called."
878,Define The Process Of Handling In Case Of Destructor Failure?,"In order to handle a failed destructor, you need to write a message to a log file; however, do not throw an exception. There is a rule in C++ that exception cannot be thrown from a destructor, which is called when the process of ""stack unwinding"" occurs in other exceptions. For example, if someone says throw waste files(), the stack frames between the throw waste files() and the catch (waste files) will get popped. This is known as stack unwinding. It is the process of destroying all the local objects related to those stack frames and calling destructors in case of throwing of an exception by one of those destructors. For example, if an object named Bar is thrown, then the C++ runtime system is in a neutral situation means either to avoid the Bar and end up in the catch (waste files) or ignore the function Foo and look for a catch (Bar) handler. It will call in the terminate () process to end the program."
879,What Is A Virtual Destructor?,"Virtual destructors help in destroying objects without knowing their type. With the help of the virtual function mechanism, the appropriate destructor for the object is invoked. In the case of abstract classes, destructors can also be declared as pure virtual functions. For example, class A derives from class B. Then, on calling the derived class dynamically at the execution time, the destructor will first call the derived class that is class A, and then the base class that is class B.
It is important to note that theVirtual keyword, when used with the destructor, ensures the calling of all the derived and base class destructors and therefore helps in the proper execution and closing of the program"
880,Can You Explicitly Call A Destructor On A Local Variable?,"No, the destructor is called when the block closes in which the local variable was created.
If a destructor is called explicitly twice on the same object, the result ends in an undefined behavior because the local variable gets destroyed when the scope ends."
881,What Are Shallow And Deep Copies?,"A shallow copy is used to copy actual values of the data. It means, if the pointer points to dynamically allocated memory, the new object's pointer in the copy still points to items inside the old objects and the returned object will be left pointing to items that are no longer in scope. A copy of the dynamically allocated objects is created with the help of a deep copy. This is done with the help of an assignment operator, which needs to be overloaded by the copy constructor."
882,What Do You Understand By Zombie Objects In C++?,"In a situation, where an object is created in a class, a constructor fails before its full execution. It is very difficult to ensure about the execution of the constructor whether the constructor would return a value or not. Objects that are no more required for an application are called zombie objects. These zombie objects occupy a space in the memory and wait for their termination."
883,Should The This Pointer Can Be Used In The Constructor?,"
    We can use the this pointer in the constructor in the initialization list and also in the body. However, there is a feeling that the object is not fully formed so we should not use this pointer. Let's understand the use of the this pointer with the help of the following example. The declared data members of a base class and/or the declared data members of the constructor's own class can be accessed by the constructor {body} and/or a function called from the constructor. This is possible because of the full construction of constructor's body at the time of execution. The preceding example always works.
    The override in the derived class is not possible for a function called from the constructor and the {body} of a constructor which is independent of calling the virtual member function by the explicit use of the this pointer.
    Please make sure that the initialization of other data member has already been done before passing the data member to another data member's initializer in this object. With the help of some straightforward language rules (independent of the specific compiler that you are using), you can confirm about the determination of initialization of data members.
    Without the prior knowledge of these rules, there is no use of passing any data member from the this object.
"
884,What Do You Understand By A Pure Virtual Member Function?,"A virtual function with no body structure is called a pure virtual member function. You can declare a pure virtual member function by adding the notation =0 to the virtual member function declaration. For example, area () is a virtual function, but when it is declared as shown in the following expression, it becomes a pure virtual member function: virtual int area () =0;

To avoid a compilation error, all the classes need to implement pure virtual classes that are derived from the abstract class."
885,How Can Virtual Functions In C++ Be Implemented?,"When a class has at least one virtual function, the compiler builds a table of virtual function pointers for that class. This table, commonly called the v-table, contains an entry for each virtual function in the class. The constructor of the class is used to create this table. Each object of the class in memory includes a variable called the vptr, which points to the class's common vtbl. The _rst (which creates the vtable) is constructed by the base classes after the construction of the derived classes. The derived class constructor overwrites the entries of the vtable, if its constructor overrides any virtual function of the base class. Therefore, you need not call every function from a constructor just to avoid the error prone scenario of calling the Base class constructor instead of the derived class constructor (which fails to set the entries of objects of vtable)."
886,What Do You Understand By Pure Virtual Function? Write About Its Use?,"A pure virtual function in a base class must have a matching function in a derived class. A program may not declare an instance of a class that has a pure virtual function. A program may not declare an instance of a derived class if that derived class has not provided an overriding function for each pure virtual function in the base. If you want programmers to override certain functions in a class, such as those that need information customized for a particular installation, you should make these functions pure virtual."
887,How The Virtual Functions Maintain The Call Up?,"The call is maintained through vtable. Each object includes a variable known as vptr, which points to the class's common vtable. It contains an entry for every virtual function. On calling the function, vtable calls the appropriate function using vptr."
888,Write A Note About Inheritance?,"Inheritance is a mechanism that allows the object of one class to utilize the form and model or behavior of another class. A class derived from the base class inherits attributes, functions, or methods that implement the base class to the derived class and also extends the derived class by overriding functions and adding new additional attributes and functionalities."
889,What Is The Need Of Multiple Inheritance?,"The multiple inheritance allows you to define a new class that inherits the characteristics of several base classes which are not related to each other. The vehicle class encapsulates the data and behavior that describe vehicles along with other information, such as date of purchase, life, and maintenance schedules. Classes that support specific kinds of vehicles, such as trucks, airplanes, and cars are also derived from the vehicle class. The asset class encapsulates the data and behavior of the organization's assets, including acquiring date, and depreciation schedule data for accounting purposes. A company car, being both a vehicle and an asset, is represented by a class that derives from both base classes."
890,How Can You Say That A Template Is Better Than A Base Class?,"In case of designing a generic data type to manage objects of other data types which are unknown to their container class, a template is preferred over a base class. A template can contain more than one data type parameter, making it possible to build parameterized data types of considerable complexity. The class template also allows the declaration of more than one object in the same program."
891,Explain The Concept Of Multiple Inheritance (virtual Inheritance). Write About Its Advantages And Disadvantages?,"Multiple inheritance is defined as the ability of a derived class to inherit the characteristics of more than one base class. For example, you might have a class zoo which inherits various animal classes. The advantage of multiple inheritance is that you can create a single derived class from several base classes. It helps in understanding the logic behind these complex relationships.
The multiple inheritance is not preferred by the programmers because with multiple base classes, there are chances of conflicts while calling a method in the sub class that exists in both the base classes. For example, if you have a class named zoo that inherits both the Anaconda and Zebra classes, then each base class might define a different version of the method walk, which creates a conflicting situation."
892,Describe Inheritance And Non-inheritance Of A Derived Class?,"Using inheritance, you can derive all the data members and all the other common functions of the base class and still retain the functionality of the common methods of the base class. For example, the animal class with eat, sleep and breathe methods comprises the base class because they are common to all animals. Now, a new class Elephant with a method trumpet is derived from the class animal. With the help of inheritance, the Elephant class inherits the trumpet method and still retains the eat, sleep, and breathe methods from the base class, animal.Therefore, you can add new methods to an existing class with the retaining of common methods. There are few methods that are not inherited on creating a derived class which includes constructors, destructors, and assignment operator methods of their base classes.
"
893, Write A Note About The Virtual Member Function?,"A virtual function is a member function of the base class and relies on a specific object to determine which implementation of the function is called. However, a virtual function can be declared a friend of another class. If a function is declared virtual in a base class, you can still access it directly using the :: operator. Note that if you do not override a virtual member function in a derived class, a call to that function uses the function implementation defined in the base class."
894,Should The Member Functions Which Are Made Public In The Base Class Be Hidden?,"As the public member functions of the base class are necessary to implement the public interface of the class, the member functions which are made public in the base class should never be hidden. When you are designing a class, make the derived data members private because a private member of the derived class is accessed through the protected or public member functions of the base class"
895,Can Circle Be Called An Ellipse?,"Yes, a circle can be called an ellipse. Let's understand this concept with the help of an example, if ellipse has a member function named as setsize with the widthQ of the object as x and its height() as y. There are two kinds of relationships that exist between a circle and an ellipse:

    Circle and ellipse can be made as two different classes :

In this case, ellipse can be derived from AsymmetricShape class and has a member function named as setSize(x,y). On the contrary, circle can be derived from SymmetricalShape class and has a member function named as setSize(size). Therefore, they both are unrelated in its member functions as well as in their derivations.

     Circle and ellipse can be derived from a base class :

In this case, circle and ellipse both can be inherited from the class Oval because class Oval can only have setSize(size) member function which sets the height() and widthQto the size of the object."
896, How Can You Differentiate Between Inheritance And Implementation In C++?,"With the help of abstract base classes, we can differentiate between interface and implementation in C++."
897, Write About Abstract Base Classes?,"An abstract base class is a class definition that is always a base class for other classes to be derived from. No specific objects of the base class are declared by the program. A C++ abstract base class is one that has a pure virtual function, a protected constructor, or a protected destructor.
At the design level, you create a pure virtual method by using = 0 in place of a method body. This notation specifies that the member function is a pure virtual function. This means that the base class is an abstract base class, and the class designer intends the class to be used only as a base class. The base class may or may not provide a function body for the pure virtual function. In either case, a program that uses this class may not directly declare any objects of the abstract base class. If the program declares an object of a class directly or indirectly derived from the abstract base class, the pure virtual function must be overridden explicitly."
898, Which Should Be More Useful: The Protected And Public Virtuals?,"Public virtuals are more preferable than protected virtuals. Public virtuals permit a program to directly modify the values of data members. It can be accessible to any function that is within the scope of the structure. It translates the implementation for the user of the class. It is the most common, convenient, and easiest way to implement by any of the programs.
On the other hand, protected virtual functions are used for hiding some methods or data members from the outside class making it consistent and symmetrical in its approach. It is condition specific, so not commonly used."
899, Describe The Setting Up Of My Member Functions To Avoid Overriding By The Derived Class?,"To avoid overriding of the member functions by the derived class, the leaf method is used. With the help of the leaf method, it is possible to leave the code unaligned at the time of execution by simply adding a comment next to the method. This method is easy, fast, and inexpensive to use."
900,How Do C++ Struct Differs From The C++ Class?,"C++ defines structures and classes almost identically. To declare a class, you use the class keyword in place of the struct keyword. The only other differences are related to the default access specifiers. The members of a structure have public access by default; whereas, the member of a class has private access by default. The concept of encapsulation is supported by the class only and not the structure"
901,Write About The Use Of The Virtual Destructor?,"When an object is declared with the new operator and the pointer type is that of a base class with a non-virtual destructor, the base destructor executes instead of the derived destructor. When a base class destructor is virtual, the compiler calls the correct destructor function irrespective of the type of the pointer.
If the base class needs no custom destruction, you must still provide a virtual destructor (with an empty block) to permit the proper destructor calls for dynamically allocated objects. Moreover, by making the destructor of the base class as virtual, you can invoke the destructors of both the base and derived classes in the reverse order."
902, Write A Note On Encapsulation?,"Encapsulation is an object-oriented design approach that closely binds the implementation of a class to its data representation, logically hides the details of the implementation from users of the data type, and provides a public interface to the data type's behavior. It implies an implementation, which is hidden from the class user, and an interface, which is visible to the class user. It helps you to handle large scale programming tasks.The idea behind encapsulation is to take a complex system that demands a lot of attention and to turn it into an object that handles all its work internally and can easily form a concept."
903,What Are The Effects After Calling The Delete This Operator ?,"It is difficult for the compiler to know whether an object is allocated on a stack or a heap. On invoking the delete this operator, the destructor is called twice on the object related to the current context. Firstly implicitly and secondly explicitly. It results in undefined behavior and error-prone conditions. The delete this operator can only work on three conditions:

     An Instantiation of a local variable should not take place, after calling the delete this destructor.
     The this pointer should not be used after calling the delete this operator.
     The object of a derived class should be allocated and initialized with the new operator
"
904, Write About All The Implicit Member Functions Of A Class?,"All the implicit member functions of a class are listed as follows:
a. Default constructor Defines a constructor with no parameters.
b. Copy constructors Initializes the value from an existing object of a class to a new, instantiated object of that same class.
c. Assignment operator-Returns a value.
d. Default destructorRuns automatically when an object is being destroyed.
e. Address operator Takes one operand and returns the memory address of a variable or function."
905,What Is Overriding?,"To override a method, a subclass of the class that originally declared the method must declare a method with the same name, return type (or a subclass of that return type), and same parameter list.
Overriding a method means replacing the method's functionality in a child class. To implement overriding functionality, you need parent and child classes. In the child class, you define the same method signature as the one defined in the parent class."
906,Write About The Members That A Derived Class Can Add?,"Derived classes can use the constructors, destructors, and assignment operator methods of their base classes. It can also override the member functions of the base class. For example, if the base class has an assignment operator method, the compiler uses that method for the derived class as well, which is fine unless the derived class also adds its own data members (in which case, you should create a new operator = method for the derived class)."
907,Describe The Process Of Creation And Destruction Of A Derived Class Object?,"When you declare an object of a derived class, stacks or heaps allocate the space for the object. This space contains the inherited data members from the base class and also the members defined in its derived class. The initialization of the inherited data members from the base class is done with the help of the constructor of a base class. Therefore, compiler executes the constructor function of the base class followed by the constructor function of the derived class.
When an object goes out of scope, the destructors execute in the reverse order of the constructors. Firstly, the destructor of the derived class is invoked to destroy the derived class object, and then the destructor of a base class is invoked. This process helps to allocate the required space."
908,What Is An Object?,"An object is a declared instance of a data type, which includes standard C++ data types as well as objects of classes. In other words, they are the variables that you declare in the class. In OOP, objects represent real world entities, such as students, doctors, and bank accounts. These objects can interact with each other by sending or receiving messages. An object has the following three main characteristics:

     It has a state
     It may or may not display a behavior
     It has a unique identity
"
909,Define A Good Interface?,"A good interface is the one that hides unnecessary details and provides a simplified way for making applications with all the required information and different software related to different applications. A good interface should provide users an opportunity to explore and understand the different concepts related to the tasks they want to do. In this way, it ensures good communication between the user and the computer."
910,Write About The Role Of C++ In The Tradeoff Of Safety Vs. Usability?,"Earlier in C, an encapsulation is achieved by making the methods static in a class. On the contrary, in C++, it would not work.
Programmers use structs in C for making multiple instances. The creation of multiple instances is not supported directly by the data with static keyword in a class. This situation made the concept of tradeoff between safety (information hiding) and usability (multiple instances) worse.
On the contrary, C++ supported both multiple instances and encapsulation with the help of the concept of a class. The public part of a class includes the interface of the class which includes public member functions and friends functions of a class. The private and/or protected parts of a class includes an implementation of the class which includes the data. This results in a struct which is encapsulated. This depicts the strong tradeoff between safety (information hiding) and usability(multiple instances)."
911,How Can You Prevent Accessing Of The Private Parts Of My Class By Other Programmers (violating Encapsulation)?,"Encapsulation only hides the details of the implementation from users of the data type, and provides a public user interface. Encapsulation only maintains the integrity of the internal coding inside the methods of a class, but not able to prevent accessing the private or protected parts of a class by the user."
912, Can Non-public Members Of Another Instance Of The Class Be Retrieved By The Method Of The Same Class?,"Yes, the non-public members of another instance of the class can be retrieved by the method of the same class. Retrieval depends on the type of the class whether it is of a reference/pointer/object class. It seems to break the rule of encapsulation. However, there is a need of get () method with a public specifier for the non-public members to retrieve the method of the same class because an explicit argument (means the pointer by which ""this"" is not called) can be taken by at least one method of the same class."
913,Can Encapsulation Be Called As A Security Device?,"Encapsulation hides important and classified data from accidental manipulation by members of the same program. Note that the encapsulated data of a class can be accessible outside the class only when the data is used in the function of the class. However, a limited number of operations can be performed on encapsulated data by executing the functions or methods of the class. An encapsulation prevents the internal error to occur and not the explicit attacks or intentional attacks and therefore cannot be called as a security device."
914,How The Keyword Struct Is Different From The Keyword Class In C++?,"In C++, a class is similar to a struct with the exception that, by default, all the members of a class are private; while the members of a struct are public. Encapsulation is not supported by structures but supported by classes."
915,How New/delete Differs From Malloc()/free?,"The memory uses the malloc() operator, which in turn uses the free operator, to remove the unnecessary programs. On the other hand, the program builds the array by using the new operator, fills it with random numbers, displays each of the elements in the array, and deletes the array by using the delete operator. The new and delete operators should be used in C++ because they are type safe. The malloc operator is used when there is a need of forcing a type on an object because a void pointer is returned by it. Moreover, that object cannot be assigned to other types."
916,How The Delete Operator Differs From The Delete[]operator?,"When the new[] operator is used to allocate memory dynamically, the delete[]operator is used to free the memory. The new[] operator is used to allocate memory to an array of values, which starts with the index 0."
917,How A New Operator Differs From The Operator New?,"The new operator creates a class's new instance. On the other hand, overloading of a new operator is done globally with the help of the operator new. The new operator allocates memory for the item and assigns the address of that memory to the pointer by using the name of an item with a pointer of a data type, structure, or array. For example, consider the following code snippet:Double * pi = new double;
In the preceding code snippet, the new operator returns a pointer to the double variable, because it allocates the space for a double value."
918,Explain The Term Memory Alignment?,"The primary meaning of the term alignment is to maintain the appropriate positioning of different components in the memory with respect to each other. In C++, there is a requirement of setting of various objects and variables in a particular way in the system's memory.Therefore, many data variables are aligned automatically by the compiler according to their processor and type."
919,"Can A New Be Used In Place Of Old Mallocq? If Yes, Why?",The new operator should be used in place of old malloc because the new operator ensures the calling of an appropriate destructor at the time of execution and also it is more type-safe than mallocQ.
920,Is It Possible To Use A New For The Reallocation Of Pointers ?,The reallocation of pointers cannot be done by using new. It can be done by using the reallocQ operator.
921," On Throwing An Exception By The Animal Constructor In P = New Animalq, Can Memory Leak Occur?","Memory of an animal class cannot leak by throwing an exception in p = new Animal(). In case of occurrence of an exception during the Animal constructor of p = new Animal(),there is a surety of the automatic releasing of the allocated memory back to the heap."
922,"What Would Happen On Forgetting [], While Deallocating An Array Through New?","If you forget to use [] while deallocating an array through new, it throws a run time or compile time exception and results in the corruption of the heap.Therefore, it is the responsibility of the programmer to establish the connection between T[n] and delete[]p correctly."
923,Write About The Retrieval Of N Number Of Objects During The Process Of Delete[]p?,"The n number of objects can be retrieved with the help of the pointer p (it stores the n number of objects) at the run time.This can be achieved by the application of two techniques, which are:
   An array which can be associated with p in the form of key and a value such as n.
    Over-allocation of the array can be done. The preceding techniques are used by the compilers of commercial grade.
"
