,Question,Answer
278,Q. How do Dense-storage and HDD-storage instances compare to High I/O instances? ,High I/O instances (I2) are targeted at workloads that demand low latency and high random I/O in addition to moderate storage density and provide the best price/IOPS across other EC2 instance types. Dense-storage instances (D2) and HDD-storage instances (H1) are optimized for applications that require high sequential read/write access and low cost storage for very large data sets and provide the best price/GB-storage and price/disk-throughput across other EC2 instances.
279,How much disk throughput can Dense-storage and HDD-storage instances deliver?,"The largest current generation of Dense-storage instances, d2.8xlarge, can deliver up to 3.5 GBps read and 3.1 GBps write disk throughput with a 2 MiB block size. The largest H1 instances size, h1.16xlarge, can deliver up to 1.15 GBps read and write. To ensure the best disk throughput performance from your D2 instances on Linux, we recommend that you use the most recent version of the 
Amazon Linux AMI
, or another Linux AMI with a kernel version of 3.8 or later that supports persistent grants - an extension to the Xen block ring protocol that significantly improves disk throughput and scalability."
280,Do Dense-storage and HDD-storage instances provide any failover mechanisms or redundancy?,"The primary data storage for Dense-storage instances is HDD-based instance storage. Like all instance storage, these storage volumes persist only for the life of the instance. Hence, we recommend that you build a degree of redundancy (e.g. RAID 1/5/6) or use file systems (e.g. HDFS and MapR-FS) that support redundancy and fault tolerance. You can also back up data periodically to more durable data storage solutions such as Amazon Simple Storage Service (S3) for additional data durability. Please refer to 
Amazon S3
 for reference."
281,How do Dense-storage and HDD-storage instances differ from Amazon EBS?,"Amazon EBS offers simple, elastic, reliable (replicated), and persistent block level storage for Amazon EC2 while abstracting the details of the underlying storage media in use. Amazon EC2 instance storage provides directly attached non-persistent, high performance storage building blocks that can be used for a variety of storage applications. Dense-storage instances are specifically targeted at customers who want high sequential read/write access to large data sets on local storage, e.g. for Hadoop distributed computing and massively parallel processing data warehousing."
282,Can I launch H1 instances as Amazon EBS-optimized instances?,"Each H1 instance type is EBS-optimized by default. H1 instances offer 1,750 Mbps to 14,000 Mbps to EBS above and beyond the general-purpose network throughput provided to the instance. Since this feature is always enabled on H1 instances, launching a H1 instance explicitly as EBS-optimized will not affect the instance's behavior."
283,Can I launch D2 instances as Amazon EBS-optimized instances?,"Each D2 instance type is EBS-optimized by default. D2 instances 500 Mbps to 4,000 Mbps to EBS above and beyond the general-purpose network throughput provided to the instance. Since this feature is always enabled on D2 instances, launching a D2 instance explicitly as EBS-optimized will not affect the instance's behavior."
284,Are HDD-storage instances offered in EC2 Classic?,"The current generation of HDD-storage instances (H1 instances) can only be launched in Amazon VPC. With Amazon VPC, you can leverage a number of features that are available only on the Amazon VPC platform – such as enabling enhanced networking, assigning multiple private IP addresses to your instances, or changing your instances' security groups. For more information about the benefits of using a VPC, see Amazon EC2 and 
Amazon Virtual Private Cloud
 (Amazon VPC)."
285,Are Dense-storage instances offered in EC2 Classic?,"The current generation of Dense-storage instances (D2 instances) can be launched in both EC2-Classic and Amazon VPC. However, by launching a Dense-storage instance into a VPC, you can leverage a number of features that are available only on the Amazon VPC platform – such as enabling enhanced networking, assigning multiple private IP addresses to your instances, or changing your instances' security groups. For more information about the benefits of using a VPC, see 
Amazon EC2 and Amazon Virtual Private Cloud
 (Amazon VPC). You can take steps to migrate your resources from EC2-Classic to Amazon VPC. For more information, see 
Migrating a Linux Instance from EC2-Classic to a VPC
."
286,What is a High I/O instance?,"High I/O instances use NVMe based local instance storage to deliver very high, low latency, I/O capacity to applications, and are optimized for applications that require millions of IOPS. Like Cluster instances, High I/O instances can be clustered via cluster placement groups for low latency networking."
287,Are all features of Amazon EC2 available for High I/O instances?,"High I/O instance support all Amazon EC2 features. I3 instances offer NVMe only storage, while previous generation I2 instances allow legacy blkfront storage access. Currently you can only purchase High I/O instances as On-Demand, Reserved Instances or as Spot instances."
288,Is there a limit on the number of High I/O instances I can use?,"Currently, you can launch 2 i3.16xlarge instances by default. If you wish to run more than 2 On-Demand instances, please complete the 
Amazon EC2 instance request form
."
289,How many IOPS can i3.16.xlarge instances deliver?,"Using HVM AMIs, High I/O I3 instances can deliver up to 3.3 million IOPS measured at 100% random reads using 4KB block size, and up to 300,000 100% random write IOPs, measured at 4KB block sizes to applications across 8 x 1.9 TB NVMe devices."
290,What is the sequential throughput of i3 instances?,"The maximum sequential throughput, measured at 128K block sizes is 16 GB/s read throughput and 6.4 GB/s write throughput."
291,AWS has other database and Big Data offerings. When or why should I use High I/O instances?,"High I/O instances are ideal for applications that require access to millions of low latency IOPS, and can leverage data stores and architectures that manage data redundancy and availability. Example applications are:"
292,NoSQL databases like Cassandra and MongoDB,"In-memory databases like Aerospike
Elasticsearch and analytics workloads
OLTP systems"
293,Do High I/O instances provide any failover mechanisms or redundancy?,"Like other Amazon EC2 instance types, instance storage on i3.16xlarge instances persists during the life of the instance. Customers are expected to build resilience into their applications. We recommend using databases and file systems that support redundancy and fault tolerance. Customers should back up data periodically to Amazon S3 for improved data durability."
294,Do High I/O instances support TRIM?,"The TRIM command allows the operating system to inform SSDs which blocks of data are no longer considered in use and can be wiped internally. In the absence of TRIM, future write operations to the involved blocks can slow down significantly. I3 instances support TRIM."
295,When should I use Memory-optimized instances?,"Memory-optimized instances offer large memory size for memory intensive applications including in-memory applications, in-memory databases, in-memory analytics solutions, High Performance Computing (HPC), scientific computing, and other memory-intensive applications."
296,When should I use X1 instances?,"X1 instances are ideal for running in-memory databases like SAP HANA, big data processing engines like Apache Spark or Presto, and high performance computing (HPC) applications. X1 instances are certified by SAP to run production environments of the next-generation Business Suite S/4HANA, Business Suite on HANA (SoH), Business Warehouse on HANA (BW), and Data Mart Solutions on HANA on the AWS cloud."
297,When should I use X1e instances?,"X1e instances are ideal for running in-memory databases like SAP HANA, high-performance databases and other memory optimized enterprise applications. X1e instances offer twice the memory per vCPU compared to the X1 instances. The x1e.32xlarge instance is certified by SAP to run production environments of the next-generation Business Suite S/4HANA, Business Suite on HANA (SoH), Business Warehouse on HANA (BW), and Data Mart Solutions on HANA on the AWS Cloud."
298,How do X1 and X1e instances differ?,"X1e instances offer 32GB of memory per vCPU whereas X1 instances offer 16GB of memory per vCPU. X1e instance sizes enable six instance configurations starting from 4 vCPUs and 122 GiB memory up to 128 vCPUs and 3,904 GiB of memory. X1 instances enable two instance configurations, 64 vCPUs with 976 GiB memory and 128 vCPUs with 1,952 GiB memory."
299,What are the key specifications of Intel E7 (codenamed Haswell) processors that power X1 and X1e instances?,"The E7 processors have a high core count to support workloads that scale efficiently on large number of cores. The Intel E7 processors also feature high memory bandwidth and larger L3 caches to boost the performance of in-memory applications. In addition, the Intel E7 processor:
Enables increased cryptographic performance via the latest Intel AES-NI feature.
Supports Transactional Synchronization Extensions (TSX) to boost the performance of in-memory transactional data processing.
Supports Advanced Vector Extensions 2 (Intel AVX2) processor instructions to expand most integer commands to 256 bits."
300,Do X1 and X1e instances enable CPU power management state control,"Yes. You can configure C-states and P-states on x1e.32xlarge, x1e.16xlarge, x1e.8xlarge, x1.32xlarge and x1.16xlarge instances. You can use C-states to enable higher turbo frequencies (as much as 3.1 GHz with one or two core turbo). You can also use P-states to lower performance variability by pinning all cores at P1 or higher P states, which is similar to disabling Turbo, and running consistently at the base CPU clock speed."
301,What operating systems are supported on X1 and X1e instances?,"X1 and X1e instances provide high number of vCPUs, which might cause launch issues in some Linux operating systems that have a lower vCPU limit. We strongly recommend that you use the latest AMIs when you launch these instances. 
AMI support for SAP HANA workloads include: SUSE Linux 12, SUSE Linux 12 SP1, SLES for SAP 12 SP1, SLES for SAP 12 SP2, and RHEL 7.2 for SAP HANA. 
x1e.32xlarge will also support Windows Server 2012 R2 and 2012 RTM.  x1e.xlarge, x1e.2xlarge, x1e.4xlarge, x1e.8xlarge, x1e.16xlarge and x1.32xlarge will also support Windows Server 2012 R2, 2012 RTM and 2008 R2 64bit (Windows Server 2008 SP2 and older versions will not be supported) and x1.16xlarge will support Windows Server 2012 R2, 2012 RTM, 2008 R2 64bit, 2008 SP2 64bit, and 2003 R2 64bit (Windows Server 32bit versions will not be supported)."
302,What storage options are available for X1 customers?,"X1 instances offer SSD based instance store, which is ideal for temporary storage of information such as logs, buffers, caches, temporary tables, temporary computational data, and other temporary content. X1 instance store provides the best I/O performance when you use a Linux kernel that supports 
persistent grants
, an extension to the Xen block ring protocol.
X1 instances are EBS-optimized by default and offer up to 14 Gbps of dedicated bandwidth to EBS volumes. EBS offers multiple volume types to support a wide variety of workloads. For more information see the 
EC2 User Guide
."
303,What storage options are available for X1e customers?,"X1e instances offer SSD based instance store, which is ideal for temporary storage of information such as logs, buffers, caches, temporary tables, temporary computational data, and other temporary content. X1e instance store provides the best I/O performance when you use a Linux kernel that supports 
persistent grants
, an extension to the Xen block ring protocol.
X1e instances enable dedicated throughput to Amazon Elastic Block Storage (EBS) starting from 500 Mbps (x1e.xlarge) up to 14 Gbps (x1e.32xlarge) and are EBS-optimized by default at no additional cost. For more information see the 
EC2 User Guide
."
304,How do I build cost-effective failover solution on X1 and X1e instances?,"You can design simple and cost-effective failover solutions on X1 instances using Amazon EC2 
Auto Recovery
, an Amazon EC2 feature that is designed to better manage failover upon instance impairment. You can enable Auto Recovery for X1 instances by creating an AWS CloudWatch alarm. Choose the “EC2 Status Check Failed (System)” metric and select the “Recover this instance” action. Instance recovery is subject to underlying limitations, including those reflected in the 
Instance Recovery Troubleshooting documentation
. For more information visit 
Auto Recovery documentation
 and 
Creating Amazon CloudWatch Alarms
 respectively."
305,SAP HANA on AWS Cloud: Quick Start Reference Deployment Guide,0
306,"Why don’t I see M1, C1, CC2 and HS1 instances on the pricing pages any more?","These have been moved to the 
Previous Generation Instance
 page."
307,Are these Previous Generation instances still being supported?,Yes. Previous Generation instances are still fully supported.
308,Can I still use/add more Previous Generation instances?,"Yes. Previous Generation instances are still available as On-Demand, Reserved Instances, and Spot Instance, from our APIs, CLI and EC2 Management Console interface."
309,Are my Previous Generation instances going to be deleted?,"No. Your C1, C3, CC2, CR1, G2, HS1, M1, M2, M3, R3 and T1 instances are still fully functional and will not be deleted because of this change."
310,Are Previous Generation instances being discontinued soon?,"Currently, there are no plans to end of life Previous Generation instances. However, with any rapidly evolving technology the latest generation will typically provide the best performance for the price and we encourage our customers to take advantage of technological advancements."
311,Will my Previous Generation instances I purchased as a Reserved Instance be affected or changed?,"No. Your Reserved Instances will not change, and the Previous Generation instances are not going away."
312,Which instance types offer NVMe instance storage?,"Today, I3, C5d, M5d and F1 instances offer NVMe instance storage."
313,Is data stored on Amazon EC2 NVMe instance storage encrypted?,"Yes, all data is encrypted in an AWS Nitro hardware module prior to being written on the locally attached SSDs offered via NVMe instance storage."
314,What encryption algorithm is used to encrypt Amazon EC2 NVMe instance storage?  ,Amazon EC2 NVMe instance storage is encrypted using an XTS-AES-256 block cipher.
315,Are encryption keys unique to an instance or a particular device for NVMe instance storage?,"Encryption keys are securely generated within the Nitro hardware module, and are unique to each NVMe instance storage device that is provided with an EC2 instance."
316,What is the lifetime of encryption keys on NVMe instance storage?,"All keys are irrecoverably destroyed on any de-allocation of the storage, including instance stop and instance terminate actions."
317,Can I disable NVMe instance storage encryption?,"No, NVMe instance storage encryption is always on, and cannot be disabled."
318,Do the published IOPS performance numbers on I3 include data encryption?,"Yes, the documented IOPS numbers for I3 NVMe instance storage include encryption."
319,Does Amazon EC2 NVMe instance storage support AWS Key Management Service (KMS)? ,"No, disk encryption on NVMe instance storage does not support integration with AWS KMS system. Customers cannot bring in their own keys to use with NVMe instance storage."
320,What is Optimize CPUs?,"Optimize CPUs gives you greater control of your EC2 instances on two fronts. First, you can specify a custom number of vCPUs when launching new instances to save on vCPU-based licensing costs. Second, you can disable Intel Hyper-Threading Technology (Intel HT Technology) for workloads that perform well with single-threaded CPUs, such as certain high-performance computing (HPC) applications."
321,Why should I use Optimize CPUs feature?,"You should use Optimize CPUs if:
You are running EC2 workloads that are not compute bound and are incurring vCPU-based licensing costs. By launching instances with custom number of vCPUs you may be able to optimize your licensing spend.
You are running workloads that will benefit from disabling hyper-threading on EC2 instances."
322,How will the CPU optimized instances be priced?,CPU optimized instances will be priced the same as equivalent full-sized instance.
323,How will my application performance change when using Optimize CPUs on EC2?,Your application performance change with Optimize CPUs will be largely dependent on the workloads you are running on EC2. We encourage you to benchmark your application performance with Optimize CPUs to arrive at the right number of vCPUs and optimal hyper-threading behavior for your application.
324,Can I use Optimize CPUs on EC2 Bare Metal instance types (such as i3.metal)?,No. You can use Optimize CPUs with only virtualized EC2 instances.
325,How can I get started with using Optimize CPUs for EC2 Instances?,"For more information on how to get started with Optimize CPUs and supported instance types, please visit the Optimize CPUs documentation page 
here
."
326,What is VM Import/Export?,VM Import/Export enables customers to import Virtual Machine (VM) images in order to create Amazon EC2 instances. Customers can also export previously imported EC2 instances to create VMs. Customers can use VM Import/Export to leverage their previous investments in building VMs by migrating their VMs to Amazon EC2.
327,What operating systems are supported?,"VM Import/Export currently supports Windows and Linux VMs, including 
Windows Server 2003
, Windows Server 2003 R2, Windows Server 2008, Windows Server 2012 R1, Red Hat Enterprise Linux (RHEL) 5.1-6.5 (using Cloud Access), Centos 5.1-6.5, Ubuntu 12.04, 12.10, 13.04, 13.10, and Debian 6.0.0-6.0.8, 7.0.0-7.2.0. For more details on VM Import, including supported file formats, architectures, and operating system configurations, please see the VM Import/Export section of the 
Amazon EC2 User Guide
."
328,What virtual machine file formats are supported?,"You can import VMware ESX VMDK images, Citrix Xen VHD images, Microsoft Hyper-V VHD images and RAW images as Amazon EC2 instances. You can export EC2 instances to VMware ESX VMDK, VMware ESX OVA, Microsoft Hyper-V VHD or Citrix Xen VHD images. For a full list of support operating systems, please see 
What operating systems are supported?
."
329,What is VMDK?,"VMDK is a file format that specifies a virtual machine hard disk encapsulated within a single file. It is typically used by virtual IT infrastructures such as those sold by VMware, Inc."
330,How do I prepare a VMDK file for import using the VMware vSphere client?,The VMDK file can be prepared by calling File-Export-Export to OVF template in VMware vSphere Client. The resulting VMDK file is compressed to reduce the image size and is compatible with VM Import/Export. No special preparation is required if you are using the Amazon EC2 VM Import Connector vApp for VMware vCenter.
331,What is VHD?,VHD (Virtual Hard Disk) is a file format that that specifies a virtual machine hard disk encapsulated within a single file. The VHD image format is used by virtualization platforms such as Microsoft Hyper-V and Citrix Xen.
332,How do I prepare a VHD file for import from Citrix Xen?,"Open Citrix XenCenter and select the virtual machine you want to export. Under the Tools menu, choose ""Virtual Appliance Tools"" and select ""Export Appliance"" to initiate the export task. When the export completes, you can locate the VHD image file in the destination directory you specified in the export dialog."
333,How do I prepare a VHD file for import from Microsoft Hyper-V?,"Open the Hyper-V Manager and select the virtual machine you want to export. In the Actions pane for the virtual machine, select ""Export"" to initiate the export task. Once the export completes, you can locate the VHD image file in the destination directory you specified in the export dialog."
334,Are there any other requirements when importing a VM into Amazon EC2?,"The virtual machine must be in a stopped state before generating the VMDK or VHD image. The VM cannot be in a paused or suspended state. We suggest that you export the virtual machine with only the boot volume attached. You can import additional disks using the ImportVolume command and attach them to the virtual machine using AttachVolume. Additionally, encrypted disks (e.g. Bit Locker) and encrypted image files are not supported. You are also responsible for ensuring that you have all necessary rights and licenses to import into AWS and run any software included in your VM image."
335,Does the virtual machine need to be configured in any particular manner to enable import to Amazon EC2?,"Ensure Remote Desktop (RDP) or Secure Shell (SSH) is enabled for remote access and verify that your host firewall (Windows firewall, iptables, or similar), if configured, allows access to RDP or SSH. Otherwise, you will not be able to access your instance after the import is complete. Please also ensure that Windows VMs are configured to use strong passwords for all users including the administrator and that Linux VMs and configured with a public key for SSH access."
336,How do I import a virtual machine to an Amazon EC2 instance?,"You can import your VM images using the Amazon EC2 API tools:
Import the VMDK, VHD or RAW file via the ec2-import-instance API. The import instance task captures the parameters necessary to properly configure the Amazon EC2 instance properties (instance size, Availability Zone, and security groups) and uploads the disk image into Amazon S3.
If ec2-import-instance is interrupted or terminates without completing the upload, use ec2-resume-import to resume the upload. The import task will resume where it left off.
Use the ec2-describe-conversion-tasks command to monitor the import progress and obtain the resulting Amazon EC2 instance ID.
Once your import task is completed, you can boot the Amazon EC2 instance by specifying its instance ID to the ec2-run-instances API.
Finally, use the ec2-delete-disk-image command line tool to delete your disk image from Amazon S3 as it is no longer needed.
Alternatively, if you use the VMware vSphere virtualization platform, you can import your virtual machine to Amazon EC2 using a graphical user interface provided through 
AWS Management Portal for vCenter.
 Please refer to Getting Started Guide in AWS Management Portal for vCenter. AWS Management Portal for vCenter includes integrated support for 
VM Import
. Once the portal is installed within vCenter, you can right-click on a VM and select “Migrate to EC2” to create an EC2 instance from the VM. The portal will handle exporting the VM from vCenter, uploading it to S3, and converting it into an EC2 instance for you, with no additional work required. You can also track the progress of your VM migrations within the portal."
337,How do I export an Amazon EC2 instance back to my on-premise virtualization environment?,"You can export your Amazon EC2 instance using the Amazon EC2 CLI tools:
Export the instance using the ec2-create-instance-export-task command. The export command captures the parameters necessary (instance ID, S3 bucket to hold the exported image, name of the exported image, VMDK, OVA or VHD format) to properly export the instance to your chosen format. The exported file is saved in an S3 bucket that you previously created
Use ec2-describe-export-tasks to monitor the export progress
Use ec2-cancel-export-task to cancel an export task prior to completion"
338,Are there any other requirements when exporting an EC2 instance using VM Import/Export?,"You can export running or stopped EC2 instances that you previously imported using VM Import/Export. If the instance is running, it will be momentarily stopped to snapshot the boot volume. EBS data volumes cannot be exported. EC2 instances with more than one network interface cannot be exported."
339,Can I export Amazon EC2 instances that have one or more EBS data volumes attached?,"Yes, but VM Import/Export will only export the boot volume of the EC2 instance."
340,What does it cost to import a virtual machine?,"You will be charged standard Amazon S3 data transfer and storage fees for uploading and storing your VM image file. Once your VM is imported, standard Amazon EC2 instance hour and EBS service fees apply. If you no longer wish to store your VM image file in S3 after the import process completes, use the ec2-delete-disk-image command line tool to delete your disk image from Amazon S3."
341,What does it cost to export a virtual machine?,"You will be charged standard Amazon S3 storage fees for storing your exported VM image file. You will also be charged standard S3 data transfer charges when you download the exported VM file to your on-premise virtualization environment. Finally, you will be charged standard EBS charges for storing a temporary snapshot of your EC2 instance. To minimize storage charges, delete the VM image file in S3 after downloading it to your virtualization environment."
342,"When I import a VM of Windows Server 2003 or 2008, who is responsible for supplying the operating system license?","When you launch an imported VM using Microsoft Windows Server 2003 or 2008, you will be charged standard instance hour rates for Amazon EC2 running the appropriate Windows Server version, which includes the right to utilize that operating system within Amazon EC2. You are responsible for ensuring that all other installed software is properly licensed.
So then, what happens to my on-premise Microsoft Windows license key when I import a VM of Windows Server 2003 or 2008? Since your on-premise Microsoft Windows license key that was associated with that VM is not used when running your imported VM as an EC2 instance, you can reuse it for another VM within your on-premise environment."
343,Can I continue to use the AWS-provided Microsoft Windows license key after exporting an EC2 instance back to my on-premise virtualization environment?,"No. After an EC2 instance has been exported, the license key utilized in the EC2 instance is no longer available. You will need to reactivate and specify a new license key for the exported VM after it is launched in your on-premise virtualization platform."
344,"When I import a VM with Red Hat Enterprise Linux (RHEL), who is responsible for supplying the operating system license?","When you import Red Hat Enterprise Linux (RHEL) VM images, you can use license portability for your RHEL instances. With license portability, you are responsible for maintaining the RHEL licenses for imported instances, which you can do using Cloud Access subscriptions for Red Hat Enterprise Linux. Please contact Red Hat to learn more about Cloud Access and to verify your eligibility."
345,How long does it take to import a virtual machine?,"The length of time to import a virtual machine depends on the size of the disk image and your network connection speed. As an example, a 10 GB Windows Server 2008 SP2 VMDK image takes approximately 2 hours to import when it’s transferred over a 10 Mbps network connection. If you have a slower network connection or a large disk to upload, your import may take significantly longer."
346,In which Amazon EC2 regions can I use VM Import/Export?,"Visit the 
Region Table
 page to see product service availability by region."
347,How many simultaneous import or export tasks can I have?,Each account can have up to five active import tasks and five export tasks per region.
348,Can I run imported virtual machines in Amazon Virtual Private Cloud (VPC)?,"Yes, you can launch imported virtual machines within Amazon VPC."
349,Can I use the AWS Management Console with VM Import/Export?,"No. VM Import/Export commands are available via EC2 CLI and API. You can also use the 
AWS Management Portal for vCenter
 to import VMs into Amazon EC2. Once imported, the resulting instances are available for use via the AWS Management Console."
350,Can I use my existing Windows Server license with EC2?,"Yes you can. After you’ve imported your own Windows Server machine images using the ImportImage tool, you can launch instances from these machine images on EC2 Dedicated Hosts and effectively manage instances and report usage. Microsoft typically requires that you track usage of your licenses against physical resources such as sockets and cores and Dedicated Hosts helps you to do this. Visit the Dedicated Hosts detail page for more information on how to use your own Windows Server licenses on Amazon EC2 Dedicated Hosts."
351,What software licenses can I bring to the Windows environment?,"Specific software license terms vary from vendor to vendor. Therefore, we recommend that you check the licensing terms of your software vendor to determine if your existing licenses are authorized for use in Amazon EC2."
352,How am I billed for my use of Amazon EC2 running IBM?,"You pay only for what you use and there is no minimum fee. Pricing is per instance-hour consumed for each instance type. Partial instance-hours consumed are billed as full hours. Data transfer for Amazon EC2 running IBM is billed and tiered separately from Amazon EC2. There is no Data Transfer charge between two Amazon Web Services within the same region (i.e. between Amazon EC2 US West and another AWS service in the US West). Data transferred between AWS services in different regions will be charged as Internet Data Transfer on both sides of the transfer.
 For Amazon EC2 running IBM pricing information, please visit the pricing section on the 
Amazon EC2 running IBM detail page
."
353,Can I use Amazon DevPay with Amazon EC2 running IBM?,"No, you cannot use DevPay to bundle products on top of Amazon EC2 running IBM at this time."
354, How do I use this service?,"The service provides an NTP endpoint at a link-local IP address (169.254.169.123) accessible from any instance running in a VPC. Instructions for configuring NTP clients are available for 
Linux
 and 
Windows
."
355, What are the key benefits of using this service?,A consistent and accurate reference time source is crucial for many applications and services. The Amazon Time Sync Service provides a time reference that can be securely accessed from an instance without requiring VPC configuration changes and updates. It is built on Amazon’s proven network infrastructure and uses redundant reference time sources to ensure high accuracy and availability.
356, Which instance types are supported for this service?,All instances running in a VPC can access the service.
357,What does your Amazon EC2 Service Level Agreement guarantee?,Our SLA guarantees a Monthly Uptime Percentage of at least 99.99% for Amazon EC2 and Amazon EBS within a Region.
358,How do I know if I qualify for a SLA Service Credit?,"You are eligible for a SLA credit for either Amazon EC2 or Amazon EBS (whichever was Unavailable, or both if both were Unavailable) if the Region that you are operating in has an Monthly Uptime Percentage of less than 99.95% during any monthly billing cycle. For full details on all of the terms and conditions of the SLA, as well as details on how to submit a claim, please see 
http://aws.amazon.com/ec2/sla/"
359,What is changing?,"Starting July 2018, all newly created EC2 resources will receive longer format IDs. The new format will only apply to newly created resources; your existing resources won’t be affected. Instances and volumes already use this ID format. Through the end of June 2018, customers will have the ability to opt-in to use longer IDs. During this time, you can choose which ID format resources are assigned and update your management tools and scripts to add support for the longer format. Please visit 
this
 documentation for instructions."
360,Why is this necessary?,"Given how fast AWS continues to grow, we will start to run low on IDs for certain resources in 2018. In order to enable the long-term, uninterrupted creation of new resources, we need to introduce a longer ID format. All Amazon EC2 resource IDs will change to the longer format in July 2018."
361,Q:  I already opted in for longer IDs last year. Why do I need to opt-in again?,"In 2016, we moved to the longer ID format for Amazon EC2 instances, reservations, volumes, and snapshots only. This opt-in changes the ID format for all remaining EC2 resource types"
362,What will the new identifier format look like?,"The new identifier format will follow the pattern of the current identifier format, but it will be longer. The new format will be -<17 characters>, e.g. “vpc-1234567890abcdef0” for VPCs or “subnet-1234567890abcdef0” for subnets."
363,Which IDs are changing?,"bundle
conversion-task
customer-gateway
dhcp-options
elastic-ip-allocation
elastic-ip-association
export-task
flow-log
image
import-task
internet-gateway
network-acl
network-acl-association
network-interface
network-interface-attachment
prefix-list
route-table
route-table-association
security-group
subnet
subnet-cidr-block-association
vpc
vpc-cidr-block-assocation
vpc-endpoint
vpc-peering-connection
vpn-connection
vpn-gateway"
364, How does this impact me?,"There is a good chance that you won’t need to make any system changes to handle the new format. If you only use the console to manage AWS resources, you might not be impacted at all, but you should still update your settings to use the longer ID format as soon as possible. If you interact with AWS resources via APIs, SDKs, or the AWS CLI, you might be impacted, depending on whether your software makes assumptions about the ID format when validating or persisting resource IDs. If this is the case, you might need to update your systems to handle the new format.
Some failure modes could include:
If your systems use regular expressions to validate the ID format, you might error if a longer format is encountered.
If there are expectations about the ID length in your database schemas, you might be unable to store a longer ID."
365,Will this affect existing resources?,"No. Only resources that are created after you opt-in to the longer format will be affected. Once a resource has been assigned an ID (long or short), that ID will never change. Each ID is unique and will never be reused. Any resource created with the old ID format will always retain its shorter ID. Any resource created with the new format will retain its longer ID, even if you opt back out."
366,When will this happen?,"Through the end of June 2018, longer IDs will be available for opt-in via APIs and the EC2 Console. All accounts can opt-in and out of longer IDs as needed for testing. Starting on July 1, 2018, the option to switch formats will no longer be available, and newly created EC2 resources to receive longer IDs. All regions launching in July 2018 and onward will only support longer IDs."
367,Why is there an opt-in period?,"We want to give you as much time as possible to test your systems with the new format. This transition time offers maximum flexibility to test and update your systems incrementally and will help minimize interrupts as you add support for the new format, if necessary."
368,How do I opt in and out of receiving longer IDs?,"Throughout the transition period (Now through the end of June 2018), you can opt to receive longer or shorter IDs by using the APIs or the EC2 Console. Instructions are provided in 
this
 documentation."
369,What will happen if I take no action?,"If you do not opt-in to the new format during the transition period, you will be automatically begin receiving the longer format IDs after July 1, 2018. We do not recommend this approach. It is better to add support for the new format during the transition window, which offers the opportunity for controlled testing."
370,What if I prefer to keep receiving the shorter ID format after the end of June 2018?,This is not possible regardless of your user settings specified.
371,When will the longer IDs’ final transition happen?,"In July 2018, your newly created resources will start to receive longer IDs. You can check the scheduled transition date for your each region by using the AWS CLI 
describe-id-format
."
372,"If I opt in to longer IDs and then opt back out during the transition period, what will happen to resources that were created with longer IDs?","Once a resource has been assigned an ID it will not change, so resources that are created with longer IDs will retain the longer IDs regardless of later actions. If you opt in to the longer format, create resources, and then opt out, you will see a mix of long and short resource IDs, even after opting out. The only way to get rid of long IDs will be to delete or terminate the respective resources. For this reason, exercise caution and avoid creating critical resources with the new format until you have tested your tools and automation."
373,What should I do if my systems are not working as expected before the transition period ends?,"If your systems are not working as expected during the transition period, you can temporarily opt out of longer format IDs and remediate your systems, however your account will automatically be transitioned back to using longer IDs after the end of June 2018. Regardless of your account settings, all new resources will receive the longer format IDs, so it is important for you to test your systems with longer format IDs before the transition period ends. By testing and opting in earlier, you give yourself valuable time to make modifications to your resources with short resource IDs and you minimize the risk of any impact to your systems."
374,What will happen if I launch resources in multiple regions during the transition period?,"Your resources’ ID length will depend upon the region you launch your resources. If the region has already transitioned to using longer IDs, resources launched in that region will have longer format IDs; if not, they will have shorter resource IDs. Therefore, during the transition window, you may see a mix of shorter and longer resource IDs."
375,"If AWS adds new regions during the transition period, will new regions support longer IDs?",Yes. All new regions launching after July 2018 will issue longer format IDs by default for both new and existing accounts.
376,What will be the default ID type for new accounts?,"Accounts created on March 15, 2018 or later will be configured to receive the longer ID format by default in every AWS region except AWS GovCloud (US). If you are a new customer, this will make the transition to longer IDs really simple. If you would like your new account to assign the shorter ID format to your resources, then simply reconfigure your account for shorter IDs as described above. This workflow will be necessary until you are ready for your accounts to receive longer IDs."
377,Will I need to upgrade to a new version of the AWS SDKs or CLI?,"The following AWS CLI and SDKs are fully compatible with longer IDs: PHP v2.8.27+, PHP v3.15.0+, AWS CLI v1.10.2+, Boto3v1.2.1+, Botocorev1.3.24+, PHP v1, Boto v1, Boto v2, Ruby v1, Ruby v2, JavaScript, Java, .NET, AWS Tools for Windows PowerShell, and Go."
378,What is Amazon CloudSearch?,"Amazon CloudSearch is a fully-managed service in the AWS Cloud that makes it easy to set up, manage, and scale a search solution for your website or application."
379,What are the benefits of running a managed search service like Amazon CloudSearch over running my own search service on EC2?,"Amazon CloudSearch provides several benefits over running your own self-managed search service including easy configuration, auto scaling for data and traffic, self-healing clusters, and high availability with Multi-AZ. With a few clicks in the AWS Management Console, you can create a search domain and upload the data you want to make searchable, and Amazon CloudSearch automatically provisions the required resources and deploys a highly tuned search index."
